                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.088,                 3.9208,                0.94979,                0.15918,                0.40357,                0.16329,                0.13465,                0.69619,                 2.3433,                0.88424,                0.00333,                0.00333,                0.00333
                      2,                0.87316,                 2.4132,                0.90866,                0.48079,                0.74091,                0.59652,                0.50712,                0.60186,                 1.3931,                0.86578,              0.0065974,              0.0065974,              0.0065974
                      3,                0.84416,                 1.7869,                 0.9052,                0.80227,                0.86777,                0.91444,                0.77363,                0.61746,                0.88198,                0.86724,              0.0097988,              0.0097988,              0.0097988
                      4,                 0.7911,                 1.3266,                0.89532,                0.94076,                0.95667,                0.98712,                0.86854,                0.52758,                0.58185,                0.84876,               0.009703,               0.009703,               0.009703
                      5,                0.71421,                 1.0096,                0.87832,                0.97583,                0.97691,                0.99329,                0.89154,                0.47829,                0.50195,                0.83713,               0.009604,               0.009604,               0.009604
                      6,                0.65635,                0.86271,                0.86449,                0.98346,                0.98689,                 0.9943,                0.90526,                0.43142,                 0.4328,                0.82487,               0.009505,               0.009505,               0.009505
                      7,                0.62297,                0.74485,                0.85519,                0.99222,                0.99358,                 0.9946,                0.90075,                0.45239,                0.39185,                0.82525,               0.009406,               0.009406,               0.009406
                      8,                0.59122,                0.68351,                0.84944,                0.99325,                0.99363,                0.99455,                0.92389,                0.38693,                0.35901,                 0.8108,               0.009307,               0.009307,               0.009307
                      9,                0.56519,                  0.627,                 0.8428,                0.99541,                0.99628,                0.99489,                0.92721,                0.37681,                0.33216,                 0.8087,               0.009208,               0.009208,               0.009208
                     10,                0.54504,                0.58237,                0.83862,                0.99452,                0.99712,                0.99479,                 0.9352,                0.36009,                0.31376,                0.80335,               0.009109,               0.009109,               0.009109
                     11,                0.52884,                0.54962,                0.83307,                0.99254,                0.99507,                0.99467,                0.93254,                0.36832,                0.30686,                0.80363,                0.00901,                0.00901,                0.00901
                     12,                0.51311,                0.51766,                 0.8289,                 0.9961,                0.99833,                0.99491,                0.94003,                0.34739,                0.28128,                 0.7991,               0.008911,               0.008911,               0.008911
                     13,                0.50343,                0.49763,                0.82821,                0.99643,                 0.9968,                0.99492,                0.94441,                0.33947,                0.27168,                0.79595,               0.008812,               0.008812,               0.008812
                     14,                0.49165,                 0.4813,                0.82467,                0.99723,                0.99702,                0.99492,                 0.9459,                0.32984,                0.25959,                  0.795,               0.008713,               0.008713,               0.008713
                     15,                  0.482,                0.45783,                0.82265,                 0.9963,                 0.9974,                0.99496,                0.95029,                0.32438,                0.25399,                0.79414,               0.008614,               0.008614,               0.008614
                     16,                 0.4692,                0.44332,                0.81919,                0.99732,                0.99791,                0.99492,                0.95365,                0.31361,                0.24192,                 0.7912,               0.008515,               0.008515,               0.008515
                     17,                0.46282,                0.43362,                 0.8182,                0.99769,                 0.9986,                0.99496,                0.95254,                0.31553,                0.23623,                0.79201,               0.008416,               0.008416,               0.008416
                     18,                0.45763,                0.42291,                0.81942,                0.99559,                0.99782,                0.99489,                0.95641,                0.31039,                 0.2308,                0.79033,               0.008317,               0.008317,               0.008317
                     19,                0.44881,                0.41003,                0.81471,                0.99735,                0.99848,                0.99493,                 0.9583,                0.29939,                0.22408,                0.78808,               0.008218,               0.008218,               0.008218
                     20,                0.44353,                0.40902,                0.81537,                0.99772,                0.99861,                0.99486,                0.95873,                0.30308,                0.22396,                0.78908,               0.008119,               0.008119,               0.008119
                     21,                0.43828,                0.40277,                0.81294,                0.99826,                0.99908,                0.99484,                0.95883,                0.29833,                0.21401,                0.78788,                0.00802,                0.00802,                0.00802
                     22,                0.43676,                0.39486,                0.81463,                0.99766,                0.99924,                  0.995,                0.96187,                0.29448,                0.21216,                0.78686,               0.007921,               0.007921,               0.007921
                     23,                0.42788,                0.38622,                0.81195,                0.99885,                0.99952,                  0.995,                0.96398,                0.28686,                0.20504,                 0.7861,               0.007822,               0.007822,               0.007822
                     24,                0.42502,                 0.3828,                0.81158,                0.99819,                0.99956,                0.99493,                0.96369,                0.28566,                0.20422,                0.78483,               0.007723,               0.007723,               0.007723
                     25,                0.42124,                0.37344,                0.81097,                0.99824,                0.99972,                  0.995,                0.96294,                0.28594,                0.20277,                 0.7853,               0.007624,               0.007624,               0.007624
                     26,                0.41337,                0.36943,                0.80949,                0.99859,                0.99944,                  0.995,                0.96716,                0.27987,                0.19895,                0.78374,               0.007525,               0.007525,               0.007525
                     27,                0.41343,                0.36611,                0.80787,                0.99838,                0.99957,                  0.995,                0.96856,                0.27597,                0.19713,                0.78425,               0.007426,               0.007426,               0.007426
                     28,                0.40744,                0.35653,                0.80714,                 0.9988,                0.99959,                  0.995,                0.96911,                0.27286,                0.19305,                 0.7829,               0.007327,               0.007327,               0.007327
                     29,                0.40262,                0.35529,                0.80615,                0.99877,                0.99951,                  0.995,                0.96683,                0.27534,                0.19106,                 0.7831,               0.007228,               0.007228,               0.007228
                     30,                 0.4008,                0.34808,                0.80727,                0.99841,                0.99894,                0.99499,                0.97134,                0.26786,                0.18821,                0.78191,               0.007129,               0.007129,               0.007129
                     31,                0.39964,                0.35166,                0.80617,                0.99891,                0.99953,                  0.995,                0.97157,                0.26601,                 0.1863,                0.78169,                0.00703,                0.00703,                0.00703
                     32,                0.39666,                0.34643,                0.80552,                 0.9991,                0.99975,                  0.995,                0.97195,                0.26776,                 0.1853,                0.78168,               0.006931,               0.006931,               0.006931
                     33,                0.39106,                0.34174,                0.80474,                0.99913,                0.99975,                0.99496,                0.97287,                0.26488,                0.18334,                0.78112,               0.006832,               0.006832,               0.006832
                     34,                0.38903,                0.33981,                0.80426,                0.99918,                0.99988,                  0.995,                0.97179,                 0.2666,                0.18219,                0.78089,               0.006733,               0.006733,               0.006733
                     35,                0.38767,                0.33841,                 0.8023,                0.99914,                0.99954,                  0.995,                0.97333,                0.26184,                0.18089,                0.78008,               0.006634,               0.006634,               0.006634
                     36,                0.38672,                0.33476,                0.80499,                0.99927,                0.99933,                  0.995,                0.97472,                0.25939,                0.17748,                0.77977,               0.006535,               0.006535,               0.006535
                     37,                0.38096,                0.33226,                0.80203,                0.99918,                 0.9997,                  0.995,                0.97385,                0.25955,                0.17608,                0.77999,               0.006436,               0.006436,               0.006436
                     38,                0.37908,                0.33213,                0.80154,                0.99896,                0.99918,                  0.995,                0.97605,                0.25471,                0.17448,                0.77913,               0.006337,               0.006337,               0.006337
                     39,                0.38031,                0.33173,                0.80177,                0.99917,                0.99959,                  0.995,                 0.9754,                0.25633,                0.17427,                0.77932,               0.006238,               0.006238,               0.006238
                     40,                 0.3786,                0.32795,                0.80158,                0.99921,                0.99944,                  0.995,                0.97588,                0.25447,                 0.1728,                0.77866,               0.006139,               0.006139,               0.006139
                     41,                0.37337,                0.32298,                0.80149,                0.99896,                0.99972,                0.99493,                0.97709,                0.25455,                0.17279,                0.77888,                0.00604,                0.00604,                0.00604
                     42,                0.37211,                0.31864,                0.79963,                  0.999,                0.99949,                0.99498,                0.97756,                0.25125,                0.16937,                0.77839,               0.005941,               0.005941,               0.005941
                     43,                0.36939,                0.31577,                0.79985,                0.99931,                0.99989,                  0.995,                0.97681,                0.25057,                0.16892,                0.77798,               0.005842,               0.005842,               0.005842
                     44,                0.36766,                0.31473,                0.79912,                0.99904,                0.99954,                 0.9949,                0.97772,                0.24885,                0.16816,                0.77778,               0.005743,               0.005743,               0.005743
                     45,                0.36468,                0.31312,                0.79979,                0.99916,                0.99972,                0.99499,                0.97794,                0.24997,                0.16716,                0.77815,               0.005644,               0.005644,               0.005644
                     46,                0.36257,                0.30903,                0.79905,                0.99928,                0.99983,                  0.995,                0.97875,                0.24803,                0.16491,                0.77764,               0.005545,               0.005545,               0.005545
                     47,                0.36057,                0.30871,                 0.7975,                0.99921,                0.99984,                  0.995,                0.97886,                0.24794,                0.16533,                0.77757,               0.005446,               0.005446,               0.005446
                     48,                0.35943,                0.30823,                0.79665,                0.99913,                0.99977,                  0.995,                0.97915,                0.24654,                 0.1639,                0.77724,               0.005347,               0.005347,               0.005347
                     49,                0.35919,                0.30753,                0.79976,                0.99923,                0.99968,                  0.995,                0.98042,                0.24446,                0.16163,                 0.7769,               0.005248,               0.005248,               0.005248
                     50,                  0.357,                0.30578,                0.79963,                 0.9992,                0.99981,                  0.995,                0.97918,                0.24522,                0.16116,                0.77715,               0.005149,               0.005149,               0.005149
                     51,                0.35314,                 0.2972,                0.79622,                0.99937,                0.99982,                  0.995,                0.98087,                0.24196,                  0.159,                0.77644,                0.00505,                0.00505,                0.00505
                     52,                 0.3536,                0.29781,                 0.7984,                0.99921,                0.99978,                  0.995,                0.98169,                 0.2419,                0.15909,                0.77632,               0.004951,               0.004951,               0.004951
                     53,                0.35101,                0.29536,                0.79698,                0.99933,                0.99978,                  0.995,                0.98179,                0.23968,                0.15763,                0.77614,               0.004852,               0.004852,               0.004852
                     54,                0.34727,                0.29376,                0.79611,                0.99918,                0.99974,                  0.995,                0.98178,                0.23854,                 0.1569,                0.77589,               0.004753,               0.004753,               0.004753
                     55,                0.34667,                0.29187,                0.79734,                0.99942,                0.99988,                  0.995,                0.98262,                0.23858,                0.15612,                0.77586,               0.004654,               0.004654,               0.004654
                     56,                0.34494,                0.29272,                0.79669,                0.99922,                0.99975,                0.99497,                0.98176,                0.23997,                0.15712,                0.77577,               0.004555,               0.004555,               0.004555
                     57,                0.34613,                0.29019,                 0.7969,                0.99935,                0.99988,                  0.995,                0.98244,                0.23678,                0.15522,                0.77555,               0.004456,               0.004456,               0.004456
                     58,                 0.3419,                0.28689,                0.79707,                0.99922,                0.99987,                  0.995,                0.98349,                 0.2361,                0.15484,                0.77529,               0.004357,               0.004357,               0.004357
                     59,                0.33862,                 0.2843,                0.79545,                0.99936,                0.99988,                0.99498,                0.98281,                0.23637,                0.15392,                0.77539,               0.004258,               0.004258,               0.004258
                     60,                0.33859,                0.28343,                0.79467,                0.99941,                 0.9999,                  0.995,                0.98332,                0.23561,                0.15324,                0.77517,               0.004159,               0.004159,               0.004159
                     61,                0.33621,                0.28052,                0.79458,                0.99943,                0.99991,                  0.995,                0.98356,                0.23512,                0.15256,                0.77513,                0.00406,                0.00406,                0.00406
                     62,                0.33348,                0.27813,                0.79485,                0.99946,                0.99973,                  0.995,                0.98382,                0.23451,                0.15149,                0.77496,               0.003961,               0.003961,               0.003961
                     63,                0.33373,                0.27843,                0.79421,                0.99949,                      1,                  0.995,                0.98386,                0.23352,                0.15039,                0.77476,               0.003862,               0.003862,               0.003862
                     64,                0.32861,                0.27409,                 0.7926,                0.99946,                0.99976,                  0.995,                0.98389,                0.23287,                0.15043,                0.77466,               0.003763,               0.003763,               0.003763
                     65,                0.33149,                0.27634,                0.79508,                0.99948,                      1,                  0.995,                0.98348,                0.23264,                0.14919,                0.77457,               0.003664,               0.003664,               0.003664
                     66,                0.32921,                0.27236,                0.79381,                 0.9995,                      1,                  0.995,                0.98433,                0.23209,                0.14899,                0.77456,               0.003565,               0.003565,               0.003565
                     67,                0.32503,                0.26929,                0.79167,                0.99949,                      1,                  0.995,                0.98449,                0.23094,                0.14793,                0.77444,               0.003466,               0.003466,               0.003466
                     68,                0.32607,                0.26731,                0.79245,                0.99945,                      1,                  0.995,                0.98419,                0.23039,                0.14759,                0.77429,               0.003367,               0.003367,               0.003367
                     69,                0.32487,                0.26866,                0.79223,                0.99947,                0.99989,                  0.995,                0.98515,                0.23065,                 0.1477,                0.77422,               0.003268,               0.003268,               0.003268
                     70,                0.32332,                0.26482,                0.79134,                0.99946,                      1,                  0.995,                 0.9852,                0.22958,                0.14739,                0.77406,               0.003169,               0.003169,               0.003169
                     71,                0.32089,                0.26317,                0.79244,                0.99948,                 0.9999,                  0.995,                0.98507,                0.22838,                0.14633,                0.77395,                0.00307,                0.00307,                0.00307
                     72,                0.31816,                0.25971,                  0.791,                0.99945,                      1,                  0.995,                0.98565,                0.22842,                0.14587,                 0.7738,               0.002971,               0.002971,               0.002971
                     73,                0.31641,                0.25926,                0.79095,                0.99946,                      1,                  0.995,                0.98599,                0.22783,                0.14473,                0.77367,               0.002872,               0.002872,               0.002872
                     74,                0.31796,                0.25931,                0.79145,                0.99947,                0.99996,                  0.995,                0.98554,                0.22799,                0.14457,                0.77366,               0.002773,               0.002773,               0.002773
                     75,                0.31595,                0.25757,                0.78943,                0.99949,                      1,                  0.995,                0.98578,                0.22745,                0.14464,                 0.7735,               0.002674,               0.002674,               0.002674
                     76,                0.31453,                0.25539,                0.79127,                0.99945,                      1,                  0.995,                  0.986,                0.22689,                0.14394,                0.77342,               0.002575,               0.002575,               0.002575
                     77,                0.31139,                0.25334,                0.79041,                0.99945,                      1,                  0.995,                 0.9857,                0.22665,                0.14364,                0.77332,               0.002476,               0.002476,               0.002476
                     78,                0.31093,                0.25304,                0.78947,                0.99947,                      1,                  0.995,                0.98598,                 0.2262,                0.14272,                0.77329,               0.002377,               0.002377,               0.002377
                     79,                0.31124,                0.25173,                0.79001,                0.99948,                      1,                  0.995,                0.98616,                0.22575,                0.14252,                0.77319,               0.002278,               0.002278,               0.002278
                     80,                0.30865,                0.24949,                0.79022,                0.99948,                      1,                  0.995,                0.98649,                0.22504,                0.14189,                0.77316,               0.002179,               0.002179,               0.002179
                     81,                0.30738,                0.24846,                0.78846,                0.99946,                      1,                  0.995,                0.98651,                0.22497,                0.14163,                0.77311,                0.00208,                0.00208,                0.00208
                     82,                0.30658,                0.24875,                 0.7896,                0.99948,                      1,                  0.995,                 0.9868,                0.22434,                 0.1413,                0.77298,               0.001981,               0.001981,               0.001981
                     83,                0.30546,                0.24669,                0.78863,                 0.9995,                      1,                  0.995,                0.98694,                0.22414,                0.14119,                0.77295,               0.001882,               0.001882,               0.001882
                     84,                 0.3043,                0.24468,                0.78935,                0.99948,                      1,                  0.995,                0.98674,                0.22392,                0.14061,                0.77292,               0.001783,               0.001783,               0.001783
                     85,                0.30108,                0.24143,                0.78753,                0.99948,                      1,                  0.995,                0.98677,                0.22371,                0.14073,                0.77285,               0.001684,               0.001684,               0.001684
                     86,                 0.3014,                0.24114,                0.78771,                0.99949,                      1,                  0.995,                0.98689,                0.22388,                 0.1408,                0.77286,               0.001585,               0.001585,               0.001585
                     87,                0.29859,                0.23891,                0.78701,                 0.9995,                      1,                  0.995,                0.98684,                0.22356,                0.14049,                0.77273,               0.001486,               0.001486,               0.001486
                     88,                0.29656,                0.23808,                0.78828,                0.99951,                      1,                  0.995,                0.98676,                0.22338,                 0.1403,                0.77268,               0.001387,               0.001387,               0.001387
                     89,                0.29531,                0.23518,                0.78858,                0.99949,                      1,                  0.995,                 0.9868,                0.22323,                0.13996,                0.77266,               0.001288,               0.001288,               0.001288
                     90,                0.29506,                0.23501,                0.78898,                 0.9995,                      1,                  0.995,                0.98701,                0.22312,                   0.14,                 0.7727,               0.001189,               0.001189,               0.001189
                     91,                0.25809,                0.17707,                0.77674,                 0.9995,                      1,                  0.995,                0.98719,                0.22269,                0.13981,                0.77262,                0.00109,                0.00109,                0.00109
                     92,                0.25628,                0.17625,                0.77679,                 0.9995,                      1,                  0.995,                0.98704,                0.22252,                0.13928,                0.77258,               0.000991,               0.000991,               0.000991
                     93,                0.25379,                0.17294,                0.77492,                0.99951,                      1,                  0.995,                0.98716,                0.22222,                0.13887,                 0.7725,               0.000892,               0.000892,               0.000892
                     94,                0.25207,                0.17303,                0.77674,                 0.9995,                      1,                  0.995,                0.98701,                0.22163,                0.13826,                0.77243,               0.000793,               0.000793,               0.000793
                     95,                0.25008,                0.17171,                0.77376,                0.99951,                      1,                  0.995,                0.98724,                 0.2212,                0.13812,                0.77235,               0.000694,               0.000694,               0.000694
                     96,                0.24776,                 0.1689,                0.77445,                0.99951,                      1,                  0.995,                0.98747,                0.22094,                0.13758,                0.77232,               0.000595,               0.000595,               0.000595
                     97,                0.24654,                0.16773,                0.77266,                0.99951,                      1,                  0.995,                0.98761,                0.22069,                 0.1374,                0.77227,               0.000496,               0.000496,               0.000496
                     98,                0.24508,                0.16613,                0.77469,                0.99952,                      1,                  0.995,                0.98759,                0.22048,                0.13718,                0.77224,               0.000397,               0.000397,               0.000397
                     99,                0.24342,                0.16473,                0.77422,                0.99952,                      1,                  0.995,                0.98765,                0.22023,                0.13686,                0.77217,               0.000298,               0.000298,               0.000298
                    100,                 0.2417,                0.16339,                0.77309,                0.99953,                      1,                  0.995,                0.98777,                0.22001,                0.13659,                0.77214,               0.000199,               0.000199,               0.000199
